movie id,release date,video release date,movie title,year,backdrop_path,poster_path
1,01-Jan-95,01-Jan-95,Toy Story,1995,/lxD5ak7BOoinRNehOCA85CQ8ubr.jpg,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,01-Jan-95,01-Jan-95,GoldenEye,1995,/5jVWJiPpmk216Q7vjjlwNXXE6ee.jpg,/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg
3,01-Jan-95,01-Jan-95,Four Rooms,1995,/f2t4JbUvQIjUF5FstG1zZFAp02N.jpg,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg
4,01-Jan-95,01-Jan-95,Get Shorty,1995,/7mbBY0I99nLegO8rcmdLKSU8y28.jpg,/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg
5,01-Jan-95,01-Jan-95,Copycat,1995,/fYER1mVSnBVsPBSC7IAN0bbscGN.jpg,/lKNjGQXTy5WkSjAtLzLzAN9IHCD.jpg
6,01-Jan-95,01-Jan-95,Shanghai Triad,1995,/gHG1OogmvDJldyi1tjqncjoblKV.jpg,/tzG1UxUSfPACREjgBrsPDRUvneH.jpg
7,01-Jan-95,01-Jan-95,Twelve Monkeys,1995,/1IWaKG7AWiYMhADxhGtnElDJAGI.jpg,/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg
8,01-Jan-95,01-Jan-95,Babe,1995,/agkZziO4ZPAsVfKUrJD68lys08P.jpg,/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg
9,01-Jan-95,01-Jan-95,Dead Man Walking,1995,/ka6np2LONtAElZOVeebb3mwSTBs.jpg,/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg
10,22-Jan-96,22-Jan-96,Richard III,1995,/l8gbqIvow8rXFblM5IzYI5AKN8Z.jpg,/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg
11,01-Jan-95,01-Jan-95,Seven,1995,/5OFUCydVG9cSS5hMk4A6XNt1oH4.jpg,/516MFML05KWiPfiQNAsVCGMySc7.jpg
12,14-Aug-95,14-Aug-95,"Usual Suspects, The",1995,/7S7PE3vK9Eh5uzCYBDGk5qTJeYW.jpg,/rWbsxdwF9qQzpTPCLmDfVnVqTK1.jpg
13,30-Oct-95,30-Oct-95,Mighty Aphrodite,1995,/hSY4PYJSFW5JWeQqOs2LAzG0W8a.jpg,/ice135yQZp4iX2SgCmd90nKgS5j.jpg
14,01-Jan-94,01-Jan-94,"Postino, Il",1994,/32pvxFiXNo2TdNpBiuHN8k2Mr4K.jpg,/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg
15,29-Jan-96,29-Jan-96,Mr. Holland's Opus,1995,/oUptKQLatCgywVDx0ETVhq7knHt.jpg,/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg
16,01-Jan-95,01-Jan-95,French Twist,1995,/eAexMnPNZG0Q9QNHNWWfr9iHLMf.jpg,/xlLnHizshGBwMiNrnop2kg2nYzE.jpg
17,05-Feb-96,05-Feb-96,From Dusk Till Dawn,1996,/n4zagLQAGDqMPXVFTooSUxnU3LZ.jpg,/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg
